,T_hr,amplitude_km,phase_hr,offset_km,slope_kmph,r2,T_hr_guess,selected
2016-01-01,3.082766565742317,26.980677540028257,-3.4429907400813904,-50.80107114855522,2.5548947257026464,0.7886683360875204,3.5,True
2016-01-01,3.0827461105216543,26.98062346865729,-3.4430936560206082,-50.79962007299042,2.554812955122873,0.7886683360741695,4.0,False
2016-01-01,3.082769651743958,26.980685312276428,-0.3602064031380337,-50.80128052444376,2.554906523979311,0.7886683360300577,3.0,False
2016-01-01,3.0827424924056333,26.980614625213626,5.8051165121092065,-50.799380165393224,2.554799413823043,0.788668336000481,2.5,False
2016-01-01,3.0827395734587677,26.980607022467524,11.970572411489245,-50.799176411506565,2.5547879272184972,0.7886683359299471,2.0,False
2016-01-01,1.3713139675985622,6.614866541954817,-1.156173268206272,-3.717261828189836,0.13829585592911584,0.04854445209801239,1.5,False
2016-01-01,0.8993075601929142,4.097432487972847,-2.171039144078855,-2.0541598987443335,0.07023715896557582,0.018965258147701336,1.0,False
2016-01-02,2.5557413869499648,29.168025932784907,-1.74559267437426,-83.17813073069689,4.131473243895294,0.7883514519561091,3.0,True
2016-01-02,2.55574144672841,29.16802632526618,-4.30133332092838,-83.17812739142204,4.131473132266942,0.7883514519559138,3.5,False
2016-01-02,2.5557443772307566,29.16803719646994,13.588895688525806,-83.17797603863141,4.131467124870302,0.7883514519509793,1.5,False
2016-01-02,2.555745468644156,29.168040686304,0.8101816602788486,-83.17792755596804,4.131465203482392,0.7883514519391784,2.5,False
2016-01-02,2.5557383255548096,29.168014394511438,-6.857091946874088,-83.17828859343119,4.131479483915577,0.7883514519359087,4.0,False
2016-01-02,2.555746026334317,29.168042721661003,5.921678178064087,-83.17790009775096,4.131464117878703,0.7883514519325165,2.0,False
2016-01-02,1.281942264103977,13.588846705371266,6.506769475843933,-80.53826480301127,3.7782342129829303,0.2262350448153445,1.0,False
2016-01-03,2.393512616061533,23.38780065274529,4.292560895483788,23.53585808001492,-1.151673458737479,0.42687364458922883,2.0,True
2016-01-03,2.3935566269070043,23.388045510709812,-0.49417686104623554,23.530188421390854,-1.1513539090855411,0.4268736442527117,2.5,False
2016-01-03,2.393561598123985,23.38805981879663,-2.887698760833413,23.529624792793317,-1.1513235372331472,0.42687364411678885,3.0,False
2016-01-03,2.3935700029587847,23.38810290450162,-5.28121905649318,23.528551392798835,-1.1512634794422951,0.426873643136645,3.5,False
2016-01-03,1.440447755762675,15.930243258245607,1.0451118023700727,39.73073524457254,-2.027310921881858,0.22613239379656347,1.5,False
2016-01-03,3.974735195037636,10.117579568274726,-2.0745897860188935,27.605554660260676,-1.335939508609773,0.10707941658760223,4.0,False
2016-01-03,0.9694880135261347,5.7659145156399045,-0.4084191936642096,41.77912922099074,-2.1012514712561696,0.05939238149241277,1.0,False
2016-01-04,2.5504749836435825,47.890616551023676,-3.9473947193878596,298.8804922202677,-18.813537718898434,0.8617316082997535,3.5,True
2016-01-04,2.550465261226848,47.8906076174416,1.153489876278148,298.8838871191019,-18.813750663717656,0.8617316082987116,2.0,False
2016-01-04,2.5504612743820507,47.890602981174645,-6.497920895872484,298.8852965507003,-18.813838865262472,0.8617316082742602,4.0,False
2016-01-04,2.5504609661536723,47.89059905092657,11.35530419049432,298.8854684243553,-18.813848888230517,0.8617316082664208,1.5,False
2016-01-04,2.5504591911496335,47.8905922207517,-1.39701159463164,298.8861842116655,-18.813892642357054,0.8617316082365303,3.0,False
2016-01-04,2.5504570312916184,47.89059563934248,1.1534338831887048,298.8868395733022,-18.813934909980176,0.8617316082270283,2.5,False
2016-01-04,1.0386098460509934,19.262944205572236,0.6099293931879198,256.5695533476906,-15.834305009770736,0.2838913688023762,1.0,False
2016-01-05,1.7603761383077028,23.409961896274712,-11.782714605320859,90.82452615547246,-3.944794312893085,0.9508938534334583,4.0,True
2016-01-05,1.7603729867798568,23.409937351948674,4.060624937976205,90.82670976030462,-3.9448967100076153,0.9508938534316703,1.5,False
2016-01-05,1.7603732003442418,23.409941334403126,-8.26198444976285,90.82650431273788,-3.9448873242775475,0.9508938534305074,3.0,False
2016-01-05,1.7603753318656932,23.409961931711628,-6.501593270079912,90.82493323183624,-3.944814073799761,0.9508938534297515,2.5,False
2016-01-05,1.7603758802948126,23.40995973393049,16.383298939374605,90.82467340899949,-3.9448011435828425,0.9508938534263758,1.0,False
2016-01-05,1.760359914857421,23.40980928336079,-4.741363707695655,90.83719899784074,-3.945386845377371,0.9508938533637826,2.0,False
2016-01-05,1.7604277344133448,23.41045319834491,-8.261576697073405,90.78346486838551,-3.942874177942915,0.9508938525378168,3.5,False
2016-01-06,3.9105826369494707,21.64534269155505,3.8106706638401957,29.890623029531366,-1.6203668025241138,0.5265674544171924,3.5,True
2016-01-06,3.910581785801415,21.645341663436522,-0.09991616125122132,29.890632496255265,-1.6203671011464542,0.5265674544152712,4.0,False
2016-01-06,3.9105750268216917,21.6453330178725,11.631777548288941,29.89059086232046,-1.6203632307595242,0.5265674543798383,2.5,False
2016-01-06,1.8100739125547565,16.53809626679474,3.3983068223651838,37.51287616068063,-1.8140796982487208,0.34757382801521197,1.5,False
2016-01-06,1.8100732852947645,16.538095946923708,-7.46214028484119,37.51288117760335,-1.8140801865851466,0.34757382795961245,3.0,False
2016-01-06,1.8100978719911986,16.53810286594467,-2.0317146746640224,37.512003045853824,-1.8140249257179126,0.34757382761288436,2.0,False
2016-01-06,1.123929303299646,9.506223246886112,2.571248349211331,30.425116409941904,-1.4901748901706848,0.1409281989817378,1.0,False
2016-01-07,2.327195275726153,41.52994697386309,-7.514276299987439,27.2949495562022,-1.5677012766734522,0.7668709697687901,4.0,True
2016-01-07,2.327196121230316,41.529942869734015,-0.532683895567955,27.29485431379683,-1.5676962338550415,0.7668709697430037,2.5,False
2016-01-07,4.24597548161915,15.008406294607914,7.158855599879952,-6.614587169281034,0.4599330995445033,0.09670608759266153,3.0,False
2016-01-07,4.245799534996339,15.00864392478036,2.9120230638386264,-6.614058174527996,0.4599015953593819,0.09670608758217658,3.5,False
2016-01-07,1.59021078416319,14.033529322422492,-3.870546464051016,33.846543546537845,-1.7268499225130227,0.09670536063501978,2.0,False
2016-01-07,1.5902516308651502,14.033599868162565,0.9005601779427824,33.84889600877916,-1.7269914532259407,0.09670535911937361,1.5,False
2016-01-07,1.229462264256236,12.285282468337108,4.696380057729391,28.09575433606686,-1.4035165253641368,0.07516419065341728,1.0,False
2016-01-08,2.368053048896606,19.257362255964484,-4.628126144061722,20.028416816612065,-1.0932921688015893,0.4929053541676731,3.0,True
2016-01-08,2.368061763349837,19.25732870840986,-6.996128461312036,20.028458858745136,-1.093294653127046,0.49290535410096525,4.0,False
2016-01-08,2.368054120004132,19.257359414789526,0.10798478416178382,20.02847193998496,-1.0932954075048744,0.49290535405527713,2.5,False
2016-01-08,1.651419144232464,17.079306188090175,1.8290109651159967,27.37286322626597,-1.3901532508615295,0.40381379992293054,1.5,False
2016-01-08,1.6514187085895722,17.079304425102936,-3.12524942648093,27.372841135795287,-1.3901518458288566,0.4038137999131498,2.0,False
2016-01-08,1.0842970712675186,9.591859698045178,1.489491868738253,22.967697703427774,-1.1441331628345202,0.13731770558262169,1.0,False
2016-01-08,9.897430519479443,9.922287511259636,30.279983579028173,67.18037433766762,-3.524347522703848,0.06722384606225162,3.5,False
2016-01-09,3.5055712367147636,36.50259442763882,2.7292317244161057,-2.94255042269514,0.22003979569770757,0.6743298324995017,3.0,True
2016-01-09,3.5055626473134494,36.502538309152904,-0.7763775341221316,-2.941377743246788,0.21997357297909695,0.6743298320986888,3.5,False
2016-01-09,3.505579920688845,36.50264826717651,-0.7762873264428047,-2.9438162160107084,0.2201050268246544,0.6743298320477316,4.0,False
2016-01-09,3.5055607630820838,36.50252619024915,6.234734802749696,-2.9411154993658934,0.21995914983354264,0.6743298320341227,2.5,False
2016-01-09,2.051694863473893,21.14254386211036,1.2671899468037662,33.70629478976303,-1.765379155714367,0.23045998747572038,2.0,False
2016-01-09,1.5727404547644397,7.568621071193854,0.6060519774438882,16.742904020994047,-0.8403788907686592,0.03227458034129704,1.5,False
2016-01-09,1.0370768502187369,4.4503600342501475,0.17407652838644405,12.299700716255277,-0.6016109129881835,0.013285365373577718,1.0,False
2016-01-10,2.9601679595334223,38.81818717280423,8.898415645576256,-7.12513775540219,0.1423383058406009,0.7721838884262542,2.0,True
2016-01-10,2.9601690414718003,38.818184481702616,2.9780899788092134,-7.125021562888835,0.14233273507167726,0.7721838884246857,2.5,False
2016-01-10,2.9601710890223747,38.81819761673422,0.017932752463178242,-7.124612968272596,0.1423109472018125,0.7721838884210336,3.0,False
2016-01-10,2.9601715074635204,38.81819916583259,-2.9422362583803827,-7.124551587628088,0.14230767580634385,0.7721838884176259,3.5,False
2016-01-10,2.9601739650870806,38.81820583647655,-5.902395945627789,-7.124163639481301,0.14228751392224276,0.7721838883883736,4.0,False
2016-01-10,1.2558723636893745,6.985877564590506,-3.240035853795275,-90.1404022745521,4.412658868841235,0.1011926439771541,1.5,False
