,T_hr,amplitude_km,is_lstid,agree
2017-01-01,1.5727128591586288,16.83855431085515,False,
2017-01-02,2.685989997312127,49.90498881487445,True,
2017-01-03,2.5765469918043276,64.22816011412438,True,
2017-01-04,1.3497730363986593,7.122878517196729,False,
2017-01-05,2.5375593272397188,42.390322946938376,True,
2017-01-06,3.0431648183990743,50.142208622394904,True,
2017-01-07,3.3156171221462527,41.03814541319228,True,
2017-01-08,1.9075201954046415,33.85396150118145,True,
2017-01-09,1.3927478378308777,24.59481471722061,True,
2017-01-10,2.0082906254172563,26.272167959762125,True,
2017-01-11,2.275155942490551,39.13881384123535,True,
2017-01-12,3.1884092547980414,28.523450688743747,True,
2017-01-13,4.461069524815375,30.27479785436312,True,
2017-01-14,3.38891345661146,24.476081630511032,True,
2017-01-15,3.3082395039110604,37.745274880812396,True,
2017-01-16,3.1606027593917134,38.926068625199875,True,
2017-01-17,1.6831625274419801,22.266986587754836,True,
2017-01-18,1.6184774941914546,36.76816073915405,False,
2017-01-19,3.335972243481836,48.78804750650935,True,
2017-01-20,3.8615100413077115,33.45308939314528,True,
2017-01-21,2.5479988134078355,50.03626787616486,True,
2017-01-22,3.2321234990989383,26.333709516983838,True,
2017-01-23,3.066636840704418,61.421871377110385,True,
2017-01-24,3.845837227693145,26.37739861961016,True,
2017-01-25,3.501232542233265,41.34817144321147,True,
2017-01-26,3.043478455916683,63.95293877687433,True,
2017-01-27,3.3292372061065794,44.20097102111205,True,
2017-01-28,2.5882724348119828,23.08055017770415,True,
2017-01-29,3.539601932223653,29.226585464794677,True,
2017-01-30,2.0000288878881367,34.31736307978628,True,
2017-01-31,1.6003584173504313,22.011134098837427,True,
2017-02-01,2.7297098500502077,56.19127229983897,True,
2017-02-02,1.5386435423279607,26.343529337710407,True,
2017-02-03,3.5761635499173985,28.16149567221915,True,
2017-02-04,3.807890341434421,43.54677601008479,True,
2017-02-05,2.5044808559262464,32.91461604373731,True,
2017-02-06,1.5559964814816107,32.43227333709015,True,
2017-02-07,3.0167361039954783,24.06627399863901,True,
2017-02-08,3.238021802922428,43.04213950427488,True,
2017-02-09,1.5313883595232152,20.88149045685494,True,
2017-02-10,4.288969671798761,13.560178617512287,False,
2017-02-11,3.5999175577226126,19.041463965640318,False,
2017-02-12,3.2233462889681403,27.02881439690727,True,
2017-02-13,1.9535680577470484,11.471136289206818,False,
2017-02-14,3.498876301326081,20.47219878496731,True,
2017-02-15,3.037867162952258,11.873515115991461,False,
2017-02-16,1.5955092006958764,38.46253524579216,True,
2017-02-17,1.5287725836284574,8.666171918444302,False,
2017-02-18,1.4703335935961703,13.35672613868606,False,
2017-02-19,2.899471966900001,21.2312210490138,True,
2017-02-20,2.603472217884489,25.36961106068123,False,
2017-02-21,2.158936631503842,24.12692103351909,True,
2017-02-22,3.683351548384037,44.430211805403644,True,
2017-02-23,2.5036141838781143,58.72573962862741,True,
2017-02-24,2.5398833461171373,28.188897478096663,True,
2017-02-25,2.7043970167595144,15.492233067898795,False,
2017-02-26,3.7963907567544304,10.424396042422696,False,
2017-02-27,1.7612525814953197,13.25721874752685,False,
2017-02-28,2.3315658343376526,29.83813093688116,True,
2017-03-01,1.8552852952525036,47.993001637559146,True,
2017-03-02,3.638068490354923,36.396598226453484,True,
2017-03-03,2.0849406097787178,30.376443323041816,True,
2017-03-04,2.9742706381039503,49.9591162120439,True,
2017-03-05,2.5769679999475397,42.49006878922194,True,
2017-03-06,2.861159105388971,54.27371999297227,True,
2017-03-07,3.416389283250077,21.368375220129337,True,
2017-03-08,2.419893647690646,21.452239139055315,True,
2017-03-09,2.419608564259168,22.67138477513345,True,
2017-03-10,2.813350348191237,15.944289172973994,False,
2017-03-11,3.768550283443215,28.222662678566614,True,
2017-03-12,2.533234239135698,19.462674080327456,False,
2017-03-13,2.0413593493025886,22.929975931555422,True,
2017-03-14,2.540639969096099,19.171124542882314,False,
2017-03-15,3.7004954095406486,27.711800103626885,True,
2017-03-16,3.7357141629144093,32.19533324309509,True,
2017-03-17,3.1894365672350102,20.866452254210206,True,
2017-03-18,2.564834796362836,38.40109926524583,True,
2017-03-19,2.7919661834701275,16.11474233386114,False,
2017-03-20,3.2205583438303664,27.861708083784166,True,
2017-03-21,2.957885742576217,31.944037274635424,True,
2017-03-22,1.38751170116345,9.86650373492572,False,
2017-03-23,3.5054768860222465,31.268666512828627,True,
2017-03-24,2.9330956079400337,30.74612782022182,True,
2017-03-25,4.017931271530338,17.215615724114492,False,
2017-03-26,3.579638968308813,13.398517074400749,False,
2017-03-27,4.334070705662705,15.76927353813452,False,
2017-03-28,2.7525582277362277,19.05445411603986,False,
2017-03-29,2.546332202779762,8.194940007580778,False,
2017-03-30,3.875461454269459,23.339931828454194,False,
2017-03-31,3.860880991043211,23.549531455765678,True,
2017-04-01,3.112699439709197,33.524988057509496,True,
2017-04-02,3.452059730182095,38.49807609667388,True,
2017-04-03,2.53049243406303,8.111143283434576,False,
2017-04-04,1.8668120314961782,17.0213429413159,False,
2017-04-05,2.99214774548607,30.071558807847765,True,
2017-04-06,3.459624856986604,32.91792710459708,True,
2017-04-07,4.064252097222401,34.08196187988734,True,
2017-04-08,3.8059824563838953,18.965873622680924,False,
2017-04-09,3.6756519232651335,19.559030497242485,False,
2017-04-10,2.6346555101707714,19.78192725212858,False,
2017-04-11,2.401153479492258,15.429127173406467,False,
2017-04-12,3.0119035435597104,32.82093857380091,True,
2017-04-13,2.4406688515192387,16.550925704462344,False,
2017-04-14,3.0307589430888098,15.038119489498367,False,
